"gene_name","module","color","kME_grey","kME_Neutrophil-M1","kME_Neutrophil-M2","kME_Neutrophil-M3","kME_Neutrophil-M4","kME_Neutrophil-M5","kME_Neutrophil-M6","kME_Neutrophil-M7","kME_Neutrophil-M8","kME_Neutrophil-M9"
"FRMD4B","Neutrophil-M1","turquoise",0.171967630769438,0.249661133120595,0.108778308465117,0.119396685870851,0.0774039734220107,-0.137096081956073,0.0191814721961961,0.158198965425744,0.0427398207089522,-0.047987739516805
"FOXP1","Neutrophil-M1","turquoise",0.339440402849801,0.45508424966974,0.188080140391649,0.0261792998033935,0.33038234034346,-0.0895193002587383,-0.0378547510444205,0.31245879597725,0.158982894324687,0.00399674395762594
"EIF4E3","Neutrophil-M1","turquoise",0.252312856410141,0.355036884330709,0.0977659473425836,0.0181405461818465,0.243789818103221,-0.0506717238935477,-0.0394283950467352,0.269039502924861,0.138852434165065,0.0391825862021858
"PROK2","Neutrophil-M1","turquoise",0.2573185568402,0.440771789278913,0.0753738603887703,-0.038387621154412,0.390313552525625,-0.0231677685825082,-0.100979232650103,0.309177426653891,0.162098933956867,0.156004011020351
"RYBP","Neutrophil-M1","turquoise",0.267475816926501,0.343694443518885,0.152360326453749,0.0799588813776525,0.0748327633493208,-0.152407188665883,0.0102145794807018,0.279381379164259,0.133134151752154,-0.0756991323320388
"PPP4R2","Neutrophil-M1","turquoise",0.206929650745878,0.283134821849155,0.0803252296915422,0.00523886393928203,0.171654242623604,-0.0511584798268326,-0.0357294303002975,0.206150228100741,0.107882201908065,0.034099727179832
"GBE1","Neutrophil-M1","turquoise",0.219608441445171,0.31054732832412,0.0993945669858025,0.0353094439059835,0.185432633427925,-0.0899712798893289,-0.0134306011995048,0.204659599380423,0.0945171179800921,-0.0260174397048743
"ZNF654","Neutrophil-M1","turquoise",0.174690791679587,0.210414826039432,0.105579551355588,0.0232841696522515,0.10488298698669,-0.0614155017951123,-0.0071840331622568,0.147941762216717,0.0866926467103057,-0.0254287722560196
"NSUN3","Neutrophil-M1","turquoise",0.167562855680709,0.228619083684659,0.0940156910234011,0.0258625104996577,0.116930143534911,-0.0806906060451736,0.00537909289467366,0.1553740436301,0.063582281621997,-0.0150552719097595
"MTRNR2L12","Neutrophil-M3","brown",-0.221306262276414,-0.375662748905728,0.00350984999071999,0.118891253882526,-0.624704914327267,-0.142213216320544,0.0778747925601143,-0.190103867522845,-0.0999828169823491,-0.175148171291489
"CMSS1","Neutrophil-M2","blue",0.188920953809517,0.0880679665881166,0.372638077991609,0.0513130089640559,0.0270244721389826,-0.052674840049154,0.0187914889777146,0.0328729826407191,0.0191365975019461,-0.0432615859287259
"TBC1D23","Neutrophil-M1","turquoise",0.184069896688389,0.240876047919947,0.0800308504846291,0.0273560795722857,0.166335187162332,-0.0417929023440176,-0.00866928386399932,0.188162357359535,0.103401377461742,-0.00467846406523159
"PCNP","Neutrophil-M3","brown",0.0825224781288976,0.0620657395008766,0.084436471044091,0.178526810647835,-0.0112715953416963,-0.088128735002469,0.0337883017024141,0.00687922433933227,-0.0142026099436212,-0.0828347370470593
"RPL24","Neutrophil-M2","blue",0.249401844255986,0.169850446035211,0.341406793517706,0.0340707407913885,0.0767629745252839,-0.067102803836863,0.0167041138580266,0.0860406176856853,0.0658243003122633,-0.00801631598923691
"NFKBIZ","Neutrophil-M8","green",-0.0154921120468465,-0.0766652710100279,-0.0528936209299185,-0.108746349612163,-0.0789123152685115,0.167048540274446,-0.0444592980161092,0.0740847216031493,0.198118610164861,0.0893169775260072
"ALCAM","Neutrophil-M1","turquoise",0.191319996622202,0.256609646157913,0.0920190728073,0.0370945123893501,0.116389074099979,-0.08875439591294,0.00046174010172501,0.168816447208502,0.0905743253498784,-0.0344169649012611
